Price,Close,High,Low,Open,Volume,Standard Deviation
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2022-07-28,269.5719909667969,270.9666075420693,261.2432507771247,263.0767468611036,33459300,6.325470069440374
2022-07-29,273.794921875,275.02376096932716,269.7866111341647,270.8301481503752,32152800,7.561336125146002
2022-08-01,271.1324462890625,274.3215405283766,269.0161158388109,270.9471442318351,21539600,8.274530152562987
2022-08-02,268.0213317871094,271.01539127951946,265.6416917082196,269.1721330389586,22754200,8.656804162974627
2022-08-03,275.48211669921875,276.486634852269,269.76706884087804,269.9133818757628,23518900,9.567932427768874
2022-08-04,276.6328430175781,276.7791262501274,273.2389529719916,274.82860378250814,18098700,10.415793285923316
2022-08-05,275.9112548828125,276.63293892199295,271.78588771905606,272.2442618483623,16774600,11.096769788487235
2022-08-08,273.38531494140625,278.8467853762037,272.41005342671457,277.02302134312987,18739200,11.513199365872186
2022-08-09,275.3162841796875,276.0769868890981,270.74230578508485,272.72211501979655,23405200,11.563782759435094
2022-08-10,282.0065612792969,282.6404751722234,279.8414800012585,281.041062115649,24687800,11.834387890477004
2022-08-11,279.91949462890625,284.00584195935807,279.4221315920144,283.65476216861083,20065900,11.780060480472134
2022-08-12,284.68853759765625,284.68853759765625,279.84148761091336,281.34339838835007,22619700,12.02760255651056
2022-08-15,286.2099609375,286.9023881899572,282.93306719484826,283.80106411686256,18085700,11.922263531962145
2022-08-16,285.46881103515625,286.76592561401543,283.2354834281525,284.76662150142613,18102900,11.895416261366545
2022-08-17,284.71624755859375,286.70022950442245,282.90817814176427,283.17204693526304,18253400,11.797689417134826
2022-08-18,283.5923156738281,285.29286306667285,282.5269980125115,283.61185156800366,17186200,11.635723249830347
2022-08-19,279.6634216308594,282.69315545045663,279.0867995860452,282.35108343721635,20570000,10.808626851938563
2022-08-22,271.4537353515625,276.05695685995096,270.9357510189904,275.68556623928026,25061100,9.547221144864189
2022-08-23,270.17352294921875,272.53864848293165,269.15708983535205,270.17352294921875,17527400,6.701055993922168
2022-08-24,269.53826904296875,270.94562882196186,268.87366093981734,269.1668782921524,18137000,6.034310747110052
2022-08-25,272.5289001464844,272.6950298023374,268.29703796509165,271.0433371485085,16583400,5.881305549020113
2022-08-26,262.01275634765625,273.98506530771704,261.9052642162287,272.7536182704308,27549300,6.744123337235177
2022-08-29,259.2176513671875,261.3384440760738,257.8689290892386,259.823592141155,20338500,7.692767799084409
